id,name,pledged,tier_rev,rev_cov
1963447663,The Red Dragon Inn - Adventure Is Nigh!,202915,168589,0.8308355715447355
1974295126,Hellboy: The Roleplaying Game,473326.4152274315,321810.89,0.6798920990821337
2005157916,Gary Gygax's World Builders Archive,302556,203305,0.6719582490514153
2013036932,Coyote & Crow the Role Playing Game,1073453.11,897515,0.8361007962425111
2018441580,Advanced Kinks and Cantrips,331011,231130,0.6982547407790074
2025582003,Lasers & Liches - New 5E Sourcebooks,102144,100544,0.9843358395989975
2037984393,Old-School Essentials Fantasy RPG Box Sets,772956.49,688120,0.8902441585036694
2050783030,Fractal: Beyond the Void,569684.88947532,349651.33,0.6137626896195703
2053378096,Grimtooth's Ultimate Traps Collection,170509,161079,0.9446950014368743
2064368512,IRON KINGDOMS: BORDERLANDS AND BEYOND,329457.84,279320,0.8478171288927286
2068309724,Invisible Sun – Return to the Actuality,339478,281962,0.8305751771837939
2073570528,Stibbles' Codex of Companions,340087.39,337668,0.9928859755723374
2080474153,Flash Gordon™ RPG for Savage Worlds,109892,94551,0.8603993011320206
2081131739,Menagerie of Magic: A collection of Magic items for DnD 5e,310198.328513555,234616.06999999998,0.7563421476971233
2092989754,Avatar Legends: The Roleplaying Game—Voyage of the Unity,543130,405114,0.7458877248540865
2096042826,Satzija's Tome of Hags - A Witchcraft Compendium,102165.23216835,72159.76,0.7063044684427833
