term,coef
stl,-0.027484430441912667
night,-0.02750934225043439
focus,-0.028314095403720346
score,-0.028735670482574333
real,-0.029003030689698145
consequ,-0.02900322668539352
token,-0.02904757405906251
rpg game,-0.029115177674136225
delv,-0.029543746529955475
fantasy sci,-0.02990054290759591
druid,-0.030104139246359095
game systems,-0.030156543813055426
middle ages,-0.03016510774880154
dream,-0.030360479814567316
magazin,-0.030362899295661713
os,-0.030507111274435506
mork borg,-0.030766150107381537
li,-0.031005824703878082
slayer,-0.03109059943891335
quickstart,-0.03149880291022324
modul,-0.03159237259017573
scatter terrain,-0.03163144894880056
famili,-0.03253340915500146
ic,-0.03260185824035931
plagu,-0.03280743731875231
color,-0.03314289012715196
save,-0.03319777854543942
patron,-0.033706431140513
super,-0.03411418287613222
artwork,-0.03468599305507289
critic,-0.034841423734429625
earth,-0.03586297044086379
ag,-0.03599891222772764
rock,-0.03735025606041226
engag,-0.03742462970727405
scale,-0.0375559987253056
armor,-0.038089599160014226
dice box,-0.03842225024384185
mini setting,-0.03860904340399007
make,-0.03895926878620193
rpg pre,-0.039210041718005434
robot,-0.03957949735732044
play games,-0.04012646007468617
pamphlet,-0.04192818059197361
late,-0.04283807500731383
agnost,-0.044867747131563475
descript,-0.04637720633379994
printable medieval,-0.04673771347872891
meander,-0.04685164810171249
drink,-0.046951703250600094
surviv,-0.047128351980675796
action,-0.047253261119342437
actual,-0.04752867354693294
queen,-0.04764541784609781
roslof,-0.047713791210353185
type,-0.04800201854294066
aid,-0.048547153576886506
adventure module,-0.050119521504630296
compatible adventure,-0.05050733499128135
files miniatures,-0.05109615057303133
tree,-0.05182167611178283
based rpg,-0.05218924329755731
campaign book,-0.052680423963768624
camp,-0.05324451604908827
theme,-0.053347324963211484
supernatur,-0.05386528173316287
obelisk,-0.05394538821223864
heist,-0.05405916781723939
quarterli,-0.054400836283565256
squad,-0.05617756280857053
print run,-0.05622751974723535
friendli,-0.05682374935856099
hyper,-0.05739619973950691
exist,-0.057767888678412434
mega adventure,-0.058125583336592214
architecture tabletop,-0.05814107251962243
wasteland,-0.05995236146591621
deduct,-0.060000908539707895
devour,-0.06076234868774559
holidai,-0.06102660449567482
art,-0.061186642142172475
river,-0.06153088909424715
easili,-0.06176577107630541
friend,-0.06209337658097988
troika,-0.062188390666671985
ador,-0.06372135756419127
mad,-0.06423530459966106
faith,-0.06536683633248358
era,-0.06577191808044183
top rpg,-0.06647554769932887
gamer,-0.06863558957972699
giant,-0.06876569034694592
miniatures stl,-0.06878875347049654
paper,-0.0697145398900486
love,-0.07036881738550622
releas,-0.0707784259474834
miniature painters,-0.0711800303237608
mage,-0.07172294120089906
pai,-0.07183136152695337
dioramas including,-0.07265269241743438
miniatures tabletop,-0.07320887339376357
combo,-0.07415572783775579
share,-0.07502599440724043
ttrpg inspired,-0.07535850240623071
dice tower,-0.07606724451263079
low level,-0.07684191023273386
comic book,-0.07739216184935827
stl file,-0.07777222891847405
time travel,-0.07789397158064944
dnd collectibles,-0.07839299161704082
kill,-0.07980200577122719
low,-0.07992013285352483
twenti,-0.08014608032613456
adventure designed,-0.08102896976711066
ogl,-0.08239632328562534
onlin,-0.08333918128868356
stl miniature,-0.08360900075178193
paper minis,-0.08392495573475696
aim,-0.08455413024421214
dice boxes,-0.08572363266860987
dragon dice,-0.08716934514691639
goal,-0.08834914708694316
stop,-0.08961968856358568
inch,-0.09099687556486136
png,-0.09199346000776054
games rpg,-0.0923845444550963
story driven,-0.0932543132861294
rules lite,-0.09563128094396525
digital rpg,-0.09564063744925361
squar,-0.09787241963398186
oneshot,-0.09935733008417101
based tabletop,-0.10017572523847226
project,-0.1008623738427406
silver,-0.1079947323025208
cooper,-0.10963483633315754
download,-0.10966626385399353
contain,-0.11251029158603365
rpg accessories,-0.11582951382045614
folio,-0.11829877975149317
city stl,-0.1224735863448215
span,-0.12551407358527164
band,-0.12592759221707608
terrain wargaming,-0.12989419105401528
gaming miniatures,-0.13164590262907985
epic adventure,-0.13669296093708067
dnd dice,-0.13809859738369418
quarterly vol,-0.13920507920838515
bust,-0.14008525797592455
stl pay,-0.14587460550241668
